build,rep,instructions,completed,instr_per_conn,conn_per_sec
netpoll,1,1169954682,5017,233198.0629858481,501.7
netpoll,2,1243153638,4975,249880.12824120602,497.5
netpoll,3,957783199,4012,238729.61091724827,401.2
netpoll,4,1203800549,5022,239705.40601354043,502.2
netpoll,5,1173035257,4874,240671.9854329093,487.4
